Name,LinkPlayer,Height,Hand,Backhand,Born,,,
Carlton Fiorentino,https://www.atptour.com/en/players/carlton-fiorentino/f618/player-activity?year=all&matchType=Singles,180,R,T,USA,,,
Juan Garat,https://www.atptour.com/en/players/juan-garat/g236/player-activity?year=all&matchType=Singles,180,R,U,ARG,,,
John Hoyes,https://www.atptour.com/en/players/john-hoyes/h787/player-activity?year=all&matchType=Singles,NA,U,U,USA,,,
Victorio Marquiselli,https://www.atptour.com/en/players/victorio-marquiselli/m0kz/player-activity?year=all&matchType=Singles,NA,U,U,ARG,,,
Karel Novacek,https://www.atptour.com/en/players/karel-novacek/n025/player-activity?year=all&matchType=Singles,191,R,U,CZE,,,
Miron Mann,https://www.atptour.com/en/players/miron-mann/mm14/player-activity?year=all&matchType=Singles,NA,U,U,CAN,,,
Tsolak Gevorkian,https://www.atptour.com/en/players/tsolak-gevorkian/g384/player-activity?year=all&matchType=Singles,NA,R,U,USA,,,
Philippe Brand,https://www.atptour.com/en/players/philippe-brand/bf02/player-activity?year=all&matchType=Singles,NA,U,U,GHOST-FLAG,,,
Josselin Ouanna,https://www.atptour.com/en/players/josselin-ouanna/o264/player-activity?year=all&matchType=Singles,193,R,U,FRA,,,
Christian Miniussi,https://www.atptour.com/en/players/christian-miniussi/m069/player-activity?year=all&matchType=Singles,185,R,U,ARG,,,
Vincenzo Santopadre,https://www.atptour.com/en/players/vincenzo-santopadre/s413/player-activity?year=all&matchType=Singles,183,L,U,ITA,,,
Jordi Arrese,https://www.atptour.com/en/players/jordi-arrese/a034/player-activity?year=all&matchType=Singles,175,R,U,ESP,,,
Marko Topo,https://www.atptour.com/en/players/marko-topo/t0fi/player-activity?year=all&matchType=Singles,NA,U,U,SRB,,,
Dmitry Popko,https://www.atptour.com/en/players/dmitry-popko/pg20/player-activity?year=all&matchType=Singles,191,R,T,KAZ,,,
Govind Nanda,https://www.atptour.com/en/players/govind-nanda/n0al/player-activity?year=all&matchType=Singles,178,R,T,USA,,,
Steven Bourke,https://www.atptour.com/en/players/steven-bourke/b641/player-activity?year=all&matchType=Singles,NA,R,U,AUS,,,
Juan Carlos Ceballos,https://www.atptour.com/en/players/juan-carlos-ceballos/cd74/player-activity?year=all&matchType=Singles,NA,U,U,VEN,,,
Nomee Qamar,https://www.atptour.com/en/players/nomee-qamar/q020/player-activity?year=all&matchType=Singles,NA,U,U,GHOST-FLAG,,,
Reda Karakhi,https://www.atptour.com/en/players/reda-karakhi/k980/player-activity?year=all&matchType=Singles,NA,U,U,MAR,,,
Paul Capdeville,https://www.atptour.com/en/players/paul-capdeville/c634/player-activity?year=all&matchType=Singles,191,R,T,CHL,,,
Stefano Galvani,https://www.atptour.com/en/players/stefano-galvani/g372/player-activity?year=all&matchType=Singles,175,R,T,ITA,,,
Fabien Robert,https://www.atptour.com/en/players/fabien-robert/r664/player-activity?year=all&matchType=Singles,NA,U,U,FRA,,,
Antonio Arce,https://www.atptour.com/en/players/antonio-arce/a889/player-activity?year=all&matchType=Singles,0,R,U,VEN,,,
Jerome Almagrida,https://www.atptour.com/en/players/jerome-almagrida/a462/player-activity?year=all&matchType=Singles,0,U,U,FRA,,,
Peter Madarassy,https://www.atptour.com/en/players/peter-madarassy/m675/player-activity?year=all&matchType=Singles,NA,R,U,HUN,,,
Janko Tipsarevic,https://www.atptour.com/en/players/janko-tipsarevic/t742/player-activity?year=all&matchType=Singles,180,R,T,YUG,,,
Chris Wilkinson,https://www.atptour.com/en/players/chris-wilkinson/w150/player-activity?year=all&matchType=Singles,180,R,U,GBR,,,
Patrick Erhardt,https://www.atptour.com/en/players/patrick-erhardt/e154/player-activity?year=all&matchType=Singles,NA,R,U,DEU,,,
Jean-Noel Grinda,https://www.atptour.com/en/players/jean-noel-grinda/g331/player-activity?year=all&matchType=Singles,NA,R,U,FRA,,,
Carl Chang,https://www.atptour.com/en/players/carl-chang/c338/player-activity?year=all&matchType=Singles,175,R,U,USA,,,
Aleksander Slovic,https://www.atptour.com/en/players/aleksander-slovic/sa68/player-activity?year=all&matchType=Singles,NA,L,U,YUG,,,
Raphael Durek,https://www.atptour.com/en/players/raphael-durek/d526/player-activity?year=all&matchType=Singles,188,R,U,AUS,,,
Martin Montalbetti,https://www.atptour.com/en/players/martin-montalbetti/me46/player-activity?year=all&matchType=Singles,NA,U,U,ARG,,,
Marcus Fugate,https://www.atptour.com/en/players/marcus-fugate/f536/player-activity?year=all&matchType=Singles,NA,U,U,USA,,,
Raphael Ozelli,https://www.atptour.com/en/players/raphael-ozelli/o310/player-activity?year=all&matchType=Singles,NA,U,U,DEU,,,
Tom Vanhoudt,https://www.atptour.com/en/players/tom-vanhoudt/v156/player-activity?year=all&matchType=Singles,183,R,U,BEL,,,
Nicolas Thomann,https://www.atptour.com/en/players/nicolas-thomann/t228/player-activity?year=all&matchType=Singles,183,R,U,FRA,,,
Brian Joelson,https://www.atptour.com/en/players/brian-joelson/j036/player-activity?year=all&matchType=Singles,183,R,U,USA,,,
Dekel Valtzer,https://www.atptour.com/en/players/dekel-valtzer/v385/player-activity?year=all&matchType=Singles,NA,U,U,ISR,,,
Michael Logarzo,https://www.atptour.com/en/players/michael-logarzo/l402/player-activity?year=all&matchType=Singles,NA,R,U,AUS,,,
Aleksey Malajko,https://www.atptour.com/en/players/aleksey-malajko/mc77/player-activity?year=all&matchType=Singles,NA,R,U,DEU,,,
Wesley Whitehouse,https://www.atptour.com/en/players/wesley-whitehouse/w272/player-activity?year=all&matchType=Singles,191,L,U,ZAF,,,
Alexey Baryshev,https://www.atptour.com/en/players/alexey-baryshev/bu11/player-activity?year=all&matchType=Singles,NA,U,U,RUS,,,
Costin Paval,https://www.atptour.com/en/players/costin-paval/pc43/player-activity?year=all&matchType=Singles,191,L,T,ROU,,,
Leonel Vivas,https://www.atptour.com/en/players/leonel-vivas/v544/player-activity?year=all&matchType=Singles,NA,U,U,VEN,,,
Volodoymyr Uzhylovskyi,https://www.atptour.com/en/players/volodoymyr-uzhylovskyi/u107/player-activity?year=all&matchType=Singles,196,R,T,UKR,,,
Febi Widhiyanto,https://www.atptour.com/en/players/febi-widhiyanto/w269/player-activity?year=all&matchType=Singles,NA,R,U,IDN,,,
Shao-Fan Liu,https://www.atptour.com/en/players/shao-fan-liu/lh58/player-activity?year=all&matchType=Singles,188,R,U,TWN,,,
Krzysztof Kwinta,https://www.atptour.com/en/players/krzysztof-kwinta/k454/player-activity?year=all&matchType=Singles,NA,U,U,POL,,,
Shane La Porte,https://www.atptour.com/en/players/shane-la-porte/l772/player-activity?year=all&matchType=Singles,NA,U,U,USA,,,
Stefan Pircher,https://www.atptour.com/en/players/stefan-pircher/p449/player-activity?year=all&matchType=Singles,NA,L,U,ITA,,,
