Tournament,Start,End,Location,Ground,Prize,
Santiago,2014.04.14,2014.04.20,CHL,Clay,"$40,000",
Poland F7,2017.07.24,2017.07.30,POL,Clay,"$15,000",
Tunisia F27,2015.10.12,2015.10.18,TUN,Hard,"$10,000",
U.S.A  F12,2014.04.28,2014.05.04,USA,Clay,"$10,000",
Bogota,1980.11.10,1980.11.10,COL,Clay,"$50,000",
Bristol,1987.06.15,1987.06.21,GB-ENG,Grass,"$100,000",
Cincinnati,1970.07.20,1970.07.26,USA,Clay,"$21,000",
Izmir,2013.09.16,2013.09.22,TUR,Hard,"$64,000",
Fergana,2013.09.23,2013.09.29,UZB,Hard,"$50,000",
Germany F7,2005.07.04,2005.07.10,DEU,Clay,"$15,000",
Knoxville,2008.11.17,2008.11.23,USA,Hard,"$50,000",
Palm Springs,1978.02.13,1978.02.19,USA,Hard,"$225,000",
Brazil F4,2008.05.12,2008.05.18,BRA,Clay,"$15,000",
Romania F6,2003.07.28,2003.08.03,ROU,Clay,"$10,000",
Munich,2005.04.25,2005.05.01,DEU,Clay,"$355,000",
Barcelona,2003.04.21,2003.04.27,ESP,Clay,"$900,000",
Boston,1978.08.21,1978.08.27,USA,Clay,"$200,000",
Parma,2020.10.05,2020.10.11,ITA,Clay,"$132,280",
Turkey F18,2017.05.08,2017.05.14,TUR,Clay,"$15,000",
SVK v.GEO EAG I 2nd Round,2008.04.07,2008.04.13,SVK,Clay,,
GER vs. AUS WG Play-Off,2012.09.10,2012.09.16,DEU,Clay,,
Japan F1,2017.03.06,2017.03.12,JPN,Hard,"$15,000",
Spain F12,2014.06.02,2014.06.08,ESP,Clay,"$10,000",
EGY vs. IRL EAG2 Play-off,2012.04.02,2012.04.08,EGY,Carpet,,
CYP vs. MAR EAGII 1st Rd.,2012.02.06,2012.02.12,CYP,Hard,,
Lima,2016.10.24,2016.10.30,PER,Clay,"$50,000",
Australia F3,2006.03.13,2006.03.26,AUS,Clay,"$15,000",
Mexico F8,2012.05.21,2012.05.27,MEX,Hard,"$10,000",
Prague,1994.08.01,1994.08.07,CZE,Clay,"$340,000",
URS vs. TCH - EUROPE ZONE B FINAL,1974.07.22,1974.07.28,UKR,Clay,,
Dallas,2017.01.30,2017.02.04,USA,Hard,"$125,000",
Goa,1995.10.30,1995.11.05,IND,Clay,"$25,000",
Recanati,2003.07.21,2003.07.27,ITA,Hard,"$25,000",
CHI V IND WGPO,1997.09.15,1997.09.21,IND,Grass,,
Hanko,1988.07.18,1988.07.24,FIN,Clay,"$50,000",
St. Petersburg,2010.10.25,2010.10.31,RUS,Hard,"$663,750",
Slovenia F1,2012.05.28,2012.06.03,SVN,Clay,"$10,000",
Sao Paulo,1994.04.18,1994.04.24,BRA,Clay,"$25,000",
POC v. MAS AOGII PO,2006.04.03,2006.04.09,NCL,Hard,,
USA V AUS SF,1986.09.29,1986.10.05,AUS,Grass,,
Italy F10,2009.05.11,2009.05.17,ITA,Clay,"$15,000",
Salzburg,1989.05.15,1989.05.21,AUT,Clay,"$75,000",
Greece F2,2004.03.29,2004.04.04,GRC,Hard,"$15,000",
Portugal F6,2017.04.10,2017.04.16,PRT,Clay,"$15,000",
Germany F4,2016.06.20,2016.06.26,DEU,Clay,"$10,000",
Switzerland F1,2009.03.02,2009.03.15,CHE,Carpet,"$10,000",
Indianapolis,1981.08.03,1981.08.03,USA,Clay,"$200,000",
Austria F4,2012.07.30,2012.08.05,AUT,Clay,"$10,000",
U.S.A. F15,2011.06.20,2011.06.26,USA,Hard,"$10,000",
Tunisia F29,2018.08.27,2018.09.02,TUN,Clay,"$25,000",
U.S.A. F20,2017.06.19,2017.06.25,USA,Clay,"$15,000",
Los Angeles,2012.07.23,2012.07.29,USA,Hard,"$557,550",
Lexington,2005.07.25,2005.07.31,USA,Hard,"$50,000",
U.S.A. F12,2002.05.20,2002.06.02,USA,Clay,"$15,000",
Almaty,2018.06.11,2018.06.16,KAZ,Clay,"$50,000",
ISR v. GRE EAG11 3rd Rd,2002.09.16,2002.09.22,ISR,Hard,,
M15 Santa Marta,2019.12.02,2019.12.08,COL,Hard,"$15,000",
M25 Marburg,2021.07.05,2021.07.11,DEU,Clay,"$25,000",
Jaipur,1999.12.06,1999.12.12,IND,Grass,"$25,000",
Tel Aviv,1991.10.07,1991.10.13,ISR,Hard,"$125,000",
Malaysia F3,2017.10.30,2017.11.05,MYS,Hard,"$15,000",
Cortina,2016.08.01,2016.08.07,ITA,Clay,"$42,500",
Bosnia &amp; Herzegovina F2,2016.05.16,2016.05.22,BIH,Clay,"$10,000",
Genoa,1990.06.18,1990.06.24,ITA,Clay,"$225,000",
Argentina F9,2005.08.29,2005.09.04,ARG,Clay,"$10,000",
Brazil F4,2016.07.18,2016.07.24,BRA,Hard,"$10,000",
Spain F7,2005.05.09,2005.05.15,ESP,Clay,"$10,000",
New Zealand F1,2003.02.24,2003.03.02,NZL,Hard,"$10,000",
Croatia F2,2003.02.17,2003.02.23,HRV,Hard,"$15,000",
Miami,1999.11.08,1999.11.14,USA,Hard,"$50,000",
Indianapolis,1997.08.11,1997.08.17,USA,Hard,"$915,000",
France F21,2012.10.15,2012.10.21,FRA,Hard,"$15,000",
AUS V USA SF,1984.09.24,1984.09.24,USA,Carpet,,
Egypt F9,2016.03.14,2016.03.20,EGY,Hard,"$10,000",
