name_first,name_last,hand,birthdate,country,gender
Gardnar,Mulloy,R,19131122.0,USA,male
Pancho,Segura,R,19210620.0,ECU,male
Frank,Sedgman,R,19271002.0,AUS,male
Giuseppe,Merlo,R,19271011.0,ITA,male
Richard Pancho,Gonzales,R,19280509.0,USA,male
Grant,Golden,R,19290821.0,USA,male
Abe,Segal,L,19301023.0,RSA,male
Kurt,Nielsen,R,19301119.0,DEN,male
Istvan,Gulyas,R,19311014.0,HUN,male
Luis,Ayala,R,19320918.0,CHI,male
Torben,Ulrich,L,19321004.0,DEN,male
Nicola,Pietrangeli,R,19330911.0,ITA,male
Neale,Fraser,L,19331003.0,AUS,male
Trevor,Fancutt,R,19340714.0,RSA,male
Sammy,Giammalva,R,19340801.0,USA,male
Ken,Rosewall,R,19341102.0,AUS,male
Mal,Anderson,R,19350303.0,AUS,male
Barry,Mackay,R,19350831.0,USA,male
Wieslaw,Gasiorek,R,19360113.0,POL,male
Alejandro,Olmedo,R,19360324.0,PER,male
Ashley,Cooper,R,19360915.0,AUS,male
Roy,Emerson,R,19361103.0,AUS,male
Ramanathan,Krishnan,R,19370411.0,IND,male
Jan Eric,Lundquist,R,19370414.0,SWE,male
Barry,Phillips Moore,R,19370709.0,AUS,male
Andres,Gimeno,R,19370803.0,ESP,male
Gene,Scott,R,19371228.0,USA,male
Manuel,Santana,R,19380510.0,ESP,male
Rod,Laver,L,19380809.0,AUS,male
Fred,Stolle,R,19381008.0,AUS,male
Dimitri,Sturdza,R,19381110.0,SUI,male
Patricio,Rodriguez Chi,R,19381220.0,CHI,male
Wilhelm,Bungert,R,19390401.0,GER,male
Christian,Kuhnke,R,19390413.0,GER,male
Ion,Tiriac,R,19390509.0,ROU,male
Rudy,Hernando,R,19390610.0,USA,male
Nikola,Pilic,L,19390827.0,CRO,male
Jaime,Pinto Bravo,R,19391009.0,CHI,male
Boro,Jovanovic,R,19391021.0,CRO,male
Bob,Hewitt,R,19400112.0,RSA,male
Ned,Neely,R,19400114.0,USA,male
Ryoichi,Mori,R,19400114.0,JPN,male
Zdenek,Slizek,R,19400219.0,CZE,male
Sergei,Likhachev,R,19400320.0,RUS,male
John,Paish,L,19400323.0,GBR,male
Larry,Nagler,R,19400701.0,USA,male
Bob,Carmichael,R,19400704.0,AUS,male
Earl Butch,Buchholz,R,19400916.0,USA,male
Jim,Mcmanus,L,19400916.0,USA,male
Martin,Mulligan,R,19401018.0,AUS,male
Premjit,Lall,R,19401020.0,IND,male
Keishiro,Yanagi,R,19410224.0,JPN,male
Colin,Stubs,R,19410227.0,AUS,male
Jose,Mandarino,R,19410326.0,BRA,male
Cliff,Drysdale,R,19410526.0,RSA,male
Harald,Elschenbroich,R,19410619.0,GER,male
Pierre,Barthes,R,19410913.0,FRA,male
Roger,Taylor,L,19411014.0,GBR,male
Isao,Watanabe,R,19411123.0,JPN,male
Marty,Riessen,R,19411204.0,USA,male
Tom,Edlefsen,R,19411212.0,USA,male
Francois,Jauffret,R,19420209.0,FRA,male
William,Higgins,R,19420402.0,USA,male
Juan,Gisbert,R,19420405.0,ESP,male
Terry,Ryan,R,19420427.0,RSA,male
Frank,Froehling,R,19420519.0,USA,male
Frew,Mcmillan,R,19420520.0,RSA,male
Herb,Fitzgibbon,R,19420714.0,USA,male
Dennis,Ralston,R,19420727.0,USA,male
Jan,Kukal,R,19420913.0,CZE,male
