ISO-ALPHA-3,IOC,FIFA
AFG,AFG,AFG
ALA,,
ALB,ALB,ALB
DZA,ALG,ALG
ASM,ASA,ASA
AND,AND,AND
AGO,ANG,ANG
AIA,,AIA
ATA,,
ATG,ANT,ATG
ARG,ARG,ARG
ARM,ARM,ARM
ABW,ARU,ARU
AUA,AUA,
AUS,AUS,AUS
AUT,AUT,AUT
AZE,AZE,AZE
BHS,BAH,BAH
BHR,BRN,BHR
BGD,BAN,BAN
BRB,BAR,BRB
BLR,BLR,BLR
BEL,BEL,BEL
BLZ,BIZ,BLZ
BEN,BEN,BEN
BMU,BER,BER
BTN,BHU,BHU
BOH,BOH,
BOL,BOL,BOL
BIH,BIH,BIH
BWA,BOT,BOT
BVT,,
BRA,BRA,BRA
HBR,HBR,BHO
IOT,,
VGB,IVB,VGB
BRN,BRU,BRU
BGR,BUL,BUL
BFA,BUR,BFA
BUR,BIR,BUR
BDI,BDI,BDI
KHM,CAM,CAM
CMR,CMR,CMR
CAN,CAN,CAN
CPV,CPV,CPV
BES,,
CYM,CAY,CAY
CAF,CAF,CTA
CEY,CEY,CEY
TCD,CHA,CHA
CHL,CHI,CHI
CHN,CHN,CHN
CXR,,
CCK,,
COL,COL,COL
COM,COM,COM
COG,CGO,CGO
COK,COK,COK
CRI,CRC,CRC
CIV,CIV,CIV
HRV,CRO,CRO
CUB,CUB,CUB
CUW,,CUW
CYP,CYP,CYP
CZE,CZE,CZE
CSK,TCH,TCH
COD,COD,COD
DNK,DEN,DEN
DJI,DJI,DJI
DMA,DMA,DMA
DOM,DOM,DOM
ECU,ECU,ECU
EGY,EGY,EGY
SLV,ESA,SLV
GB-ENG,,ENG
GNQ,GEQ,EQG
ERI,ERI,ERI
EST,EST,EST
ETH,ETH,ETH
FLK,,
FRO,,FRO
FSM,FSM,
FJI,FIJ,FIJ
FIN,FIN,FIN
FRA,FRA,FRA
GUF,,
PYF,,TAH
ATF,,
GAB,GAB,GAB
GMB,GAM,GAM
GEO,GEO,GEO
DEU,GER,GER
GHA,GHA,GHA
GIB,,GIB
GRC,GRE,GRE
GRL,,
GRD,GRN,GRN
GLP,,
GUM,GUM,GUM
GTM,GUA,GUA
GGY,,
GIN,GUI,GUI
GNB,GBS,GNB
GUY,GUY,GUY
HTI,HAI,HAI
HMD,,
HND,HON,HON
HKG,HKG,HKG
HUN,HUN,HUN
ISL,ISL,ISL
IND,IND,IND
IDN,INA,IDN
IRN,IRI,IRN
IRQ,IRQ,IRQ
IRL,IRL,IRL
IMN,,
ISR,ISR,ISR
ITA,ITA,ITA
JAM,JAM,JAM
JPN,JPN,JPN
JEY,,
JOR,JOR,JOR
KAZ,KAZ,KAZ
KEN,KEN,KEN
KIR,KIR,
KOS,KOS,KVX
KWT,KUW,KUW
KGZ,KGZ,KGZ
LAO,LAO,LAO
LVA,LAT,LVA
LBN,LBN,LIB
LSO,LES,LES
LBR,LBR,LBR
LBY,LBA,LBY
LIE,LIE,LIE
LTU,LTU,LTU
LUX,LUX,LUX
MAC,,MAC
MKD,MKD,MKD
MDG,MAD,MAD
MWI,MAW,MWI
MYS,MAS,MAS
MDV,MDV,MDV
MLI,MLI,MLI
MLT,MLT,MLT
MHL,MHL,
MTQ,,
MRT,MTN,MTN
MUS,MRI,MRI
MYT,,
MEX,MEX,MEX
MDA,MDA,MDA
MCO,MON,
MNG,MGL,MNG
MNE,MNE,MNE
MSR,,MSR
MAR,MAR,MAR
MOZ,MOZ,MOZ
MMR,MYA,MYA
NAM,NAM,NAM
NRU,NRU,
NPL,NEP,NEP
NLD,NED,NED
ANT,AHO,ANT
NCL,,NCL
NZL,NZL,NZL
NIC,NCA,NCA
NER,NIG,NIG
NGA,NGR,NGA
NIU,,
NFK,,
NBO,NBO,NBO
PRK,PRK,PRK
VDR,,VNO
GB-NIR,,NIR
MNP,,
NRH,NRH,NRH
NOR,NOR,NOR
OMN,OMA,OMA
PAK,PAK,PAK
PLW,PLW,
PAN,PAN,PAN
PNG,PNG,PNG
PRY,PAR,PAR
PER,PER,PER
PHL,PHI,PHI
PCN,,
POL,POL,POL
PRT,POR,POR
PRI,PUR,PUR
QAT,QAT,QAT
REU,,
ROU,ROU,ROU
RUS,RUS,RUS
RWA,RWA,RWA
BLM,,
SHN,,
KNA,SKN,SKN
LCA,LCA,LCA
MAF,,
SPM,,
VCT,VIN,VIN
WSM,SAM,SAM
SMR,SMR,SMR
STP,STP,STP
SAU,KSA,KSA
GB-SCT,,SCO
SEN,SEN,SEN
SRB,SRB,SRB
SCG,SCG,SCG
SYC,SEY,SEY
SLE,SLE,SLE
SGP,SGP,SIN
SXM,,
SVK,SVK,SVK
SVN,SLO,SVN
SLB,SOL,SOL
SOM,SOM,SOM
ZAF,RSA,RSA
SGS,,
KOR,KOR,KOR
SSD,SSD,SSD
RHO,RHO,RHO
SUN,URS,URS
ESP,ESP,ESP
LKA,SRI,SRI
PSE,PLE,PLE
SDN,SUD,SDN
SUR,SUR,SUR
SJM,,
SWZ,SWZ,SWZ
SWE,SWE,SWE
CHE,SUI,SUI
SYR,SYR,SYR
TWN,TPE,TPE
TJK,TJK,TJK
TZA,TAN,TAN
THA,THA,THA
TLS,TLS,TLS
TGO,TOG,TOG
TKL,,
TON,TGA,TGA
TTO,TTO,TRI
TUN,TUN,TUN
TUR,TUR,TUR
TKM,TKM,TKM
TCA,,TCA
TUV,TUV,
UGA,UGA,UGA
UKR,UKR,UKR
ARE,UAE,UAE
GBR,GBR,
USA,USA,USA
VIR,ISV,VIR
HVO,VOL,UPV
URY,URU,URU
UZB,UZB,UZB
VUT,VAN,VAN
VAT,,
VEN,VEN,VEN
VNM,VIE,VIE
DEU,FRG,GER
GB-WLS,,WAL
WLF,,
ESH,,
YEM,YEM,YEM
YUG,YUG,YUG
ZAR,ZAI,ZAI
ZMB,ZAM,ZAM
ZWE,ZIM,ZIM
