GameRound,ground,Hands,Backhands,Season,Ages,prize,Rank,Sets
Round of 32,Clay,Right,Two,Spring,2,75000,119,3
Round of 32,Clay,Right,Two,Spring,11,75000,194,3
Semi-Finals,Clay,Right,Two,Spring,2,75000,20,2
Round of 32,Clay,Right,Two,Spring,1,75000,15,3
Quarter-Finals,Clay,Right,Two,Spring,5,75000,13,2
Finals,Clay,Right,Two,Spring,2,75000,79,2
Semi-Finals,Clay,Right,Two,Spring,2,75000,39,3
Round of 16,Clay,Right - Left,Two,Spring,5,75000,149,3
Quarter-Finals,Clay,Right,Two,Spring,3,75000,129,2
Round of 16,Clay,Right,Two,Spring,6,75000,6,2
Round of 32,Clay,Right,Two,Spring,2,75000,5,2
Quarter-Finals,Clay,Right,Two,Spring,2,75000,117,2
Round of 16,Clay,Right,Two,Spring,1,75000,68,2
Round of 32,Clay,Right - Left,Two,Spring,1,75000,84,3
Round of 16,Clay,Right,Two,Spring,7,75000,12,2
Round of 32,Clay,Right,Two,Spring,6,75000,84,3
Round of 32,Clay,Right,Two,Spring,8,75000,70,2
Round of 16,Clay,Right - Left,Two,Spring,2,75000,33,3
Round of 32,Clay,Right,One,Summer,0,10000,20,3
Round of 16,Clay,Right,One - Two,Summer,2,10000,250,2
Round of 32,Clay,Right - Left,Two,Summer,3,10000,435,2
Finals,Clay,Left,One,Summer,10,100000,15,3
Quarter-Finals,Clay,Right - Left,One,Summer,3,100000,34,2
Semi-Finals,Clay,Right - Left,One,Summer,10,100000,80,2
Round of 16,Clay,Right - Left,Two,Summer,2,100000,68,2
Round of 32,Clay,Right,Two,Summer,6,25000,27,2
Round of 16,Clay,Right,Two,Summer,2,25000,93,3
Semi-Finals,Clay,Right,Two,Summer,5,25000,9,2
Round of 32,Clay,Right,Two,Summer,2,25000,235,3
Round of 32,Clay,Right,Two,Summer,1,25000,132,3
Quarter-Finals,Clay,Right,Two,Summer,6,25000,156,2
Round of 32,Clay,Right,Two,Summer,2,25000,169,2
Round of 16,Clay,Right,Two,Summer,2,15000,292,2
Quarter-Finals,Clay,Right,One - Two,Summer,8,15000,374,3
Round of 32,Clay,Right,One,Summer,2,15000,352,2
Round of 16,Clay,Right,Two,Summer,6,15000,277,3
Round of 32,Clay,Right,Two,Summer,5,15000,435,2
Round of 16,Clay,Right,Two,Summer,3,15000,435,2
Round of 32,Clay,Right,Two,Summer,1,15000,255,2
Round of 32,Clay,Right,One - Two,Summer,2,15000,435,2
Semi-Finals,Clay,Right,Two,Summer,4,15000,435,2
Finals,Clay,Right,Two,Summer,1,15000,31,2
Quarter-Finals,Clay,Right,Two,Summer,0,15000,302,2
Round of 32,Clay,Right,Two,Summer,3,15000,435,2
Round of 16,Clay,Right,Two,Summer,1,15000,435,2
Round of 32,Clay,Right,Two,Summer,3,15000,435,3
Round of 32,Clay,Right,One - Two,Summer,5,15000,8,3
Round of 16,Clay,Right,One,Summer,5,15000,173,2
Round of 32,Clay,Right,One,Summer,7,15000,96,2
Round of 16,Clay,Right,Two,Summer,3,25000,368,2
Round of 32,Clay,Right,Two,Summer,2,25000,380,2
Finals,Clay,Right,Two,Summer,6,25000,48,2
Quarter-Finals,Clay,Right - Left,Two,Summer,11,25000,435,2
Semi-Finals,Clay,Right,One - Two,Summer,4,25000,69,2
Round of 32,Clay,Right,One - Two,Summer,5,25000,142,3
Round of 32,Clay,Right - Left,Two,Summer,10,25000,435,2
Round of 16,Clay,Right,Two,Summer,7,25000,292,2
Quarter-Finals,Clay,Right,One,Summer,1,25000,82,2
Round of 32,Clay,Right,One,Summer,4,25000,192,2
Round of 32,Clay,Right - Left,Two,Summer,7,25000,59,2
1st Round Qualifying,Hard,Right,Two,Autumn,1,2296490,40,2
2nd Round Qualifying,Hard,Right - Left,Two,Autumn,1,2296490,4,2
Round of 16,Hard,Right,Two,Autumn,4,2296490,22,3
Round of 32,Hard,Right - Left,Two,Autumn,1,2296490,52,2
1st Round Qualifying,Hard,Right,Two,Autumn,4,2296490,106,2
Round of 32,Hard,Right,Two,Autumn,0,2296490,29,3
Round of 16,Hard,Right,Two,Autumn,1,2296490,117,2
1st Round Qualifying,Hard,Right - Left,Two,Autumn,3,2296490,435,2
2nd Round Qualifying,Hard,Right,Two,Autumn,5,2296490,41,3
1st Round Qualifying,Hard,Right,Two,Autumn,3,2296490,15,2
Round of 16,Hard,Right - Left,One,Autumn,9,2296490,35,3
Semi-Finals,Hard,Right,One,Autumn,3,2296490,6,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,4,2296490,68,3
Round of 32,Hard,Right - Left,Two,Autumn,8,2296490,14,3
Quarter-Finals,Hard,Right,Two,Autumn,3,2296490,58,2
Round of 32,Hard,Right,Two,Autumn,7,2296490,110,3
Round of 16,Hard,Right,Two,Autumn,12,2296490,87,2
Round of 32,Hard,Right - Left,One - Two,Autumn,4,2296490,9,2
Round of 32,Hard,Right,One,Autumn,1,2296490,63,2
Round of 32,Hard,Right,Two,Autumn,5,2296490,107,2
Round of 32,Hard,Right,One - Two,Autumn,12,2296490,22,2
Round of 32,Hard,Right,Two,Autumn,1,2296490,26,2
1st Round Qualifying,Hard,Right,Two,Autumn,1,2296490,37,2
Round of 32,Hard,Right,Two,Autumn,3,2296490,11,2
2nd Round Qualifying,Hard,Right,Two,Autumn,0,2296490,16,3
Quarter-Finals,Hard,Right,Two,Autumn,1,2296490,11,2
Round of 16,Hard,Right,One - Two,Autumn,5,2296490,18,2
Round of 32,Hard,Right,Two,Autumn,1,2296490,64,3
Round of 32,Hard,Right,Two,Autumn,9,2296490,33,2
Round of 32,Hard,Right - Left,One - Two,Autumn,8,2296490,7,2
Round of 16,Hard,Right,Two,Autumn,3,2296490,23,3
