player1Height,player2Height,player1Hand,player2Hand,player1Backhand,player2Backhand,player1Continent,player2Continent,player1Age,player2Age,player1Rank,player2Rank,GameRound,tournament,ground,Sets,BestOf,days,Season,prize
185,185,Right,Right,Unknown,Unknown,South America,Oceania,21.0,23.0,242,123,Round of 32,Salzburg,Clay,3,3,6,Spring,75000
180,178,Right,Right,Unknown,Unknown,Europe,Asia,22.0,33.0,193,387,Round of 32,Salzburg,Clay,3,3,6,Spring,75000
188,180,Right,Right,Unknown,Unknown,Europe,South America,23.0,21.0,165,185,Semi-Finals,Salzburg,Clay,2,3,6,Spring,75000
188,193,Right,Right,Unknown,Unknown,Europe,Europe,23.0,22.0,165,180,Round of 32,Salzburg,Clay,3,3,6,Spring,75000
188,191,Right,Right,Unknown,Unknown,Europe,Europe,23.0,18.0,165,178,Quarter-Finals,Salzburg,Clay,2,3,6,Spring,75000
180,188,Right,Right,Unknown,Unknown,Europe,Europe,25.0,23.0,86,165,Finals,Salzburg,Clay,2,3,6,Spring,75000
180,183,Right,Right,Unknown,Unknown,Europe,Europe,25.0,23.0,86,125,Semi-Finals,Salzburg,Clay,3,3,6,Spring,75000
180,180,Right,Left,Unknown,Unknown,Europe,Europe,25.0,20.0,86,235,Round of 16,Salzburg,Clay,3,3,6,Spring,75000
180,170,Right,Right,Unknown,Unknown,Europe,South America,25.0,28.0,86,215,Quarter-Finals,Salzburg,Clay,2,3,6,Spring,75000
180,180,Right,Right,Unknown,Unknown,South America,South America,21.0,27.0,185,191,Round of 16,Salzburg,Clay,2,3,6,Spring,75000
175,185,Right,Right,Unknown,Unknown,Europe,Europe,25.0,23.0,166,171,Round of 32,Salzburg,Clay,2,3,6,Spring,75000
183,185,Right,Right,Unknown,Unknown,Europe,South America,23.0,21.0,125,242,Quarter-Finals,Salzburg,Clay,2,3,6,Spring,75000
183,180,Right,Right,Unknown,Unknown,Europe,Europe,23.0,22.0,125,193,Round of 16,Salzburg,Clay,2,3,6,Spring,75000
180,180,Left,Right,Unknown,Unknown,Europe,South America,20.0,21.0,235,319,Round of 32,Salzburg,Clay,3,3,6,Spring,75000
191,175,Right,Right,Unknown,Unknown,Europe,Europe,18.0,25.0,178,166,Round of 16,Salzburg,Clay,2,3,6,Spring,75000
191,193,Right,Right,Unknown,Unknown,Europe,Europe,18.0,24.0,178,262,Round of 32,Salzburg,Clay,3,3,6,Spring,75000
180,196,Right,Right,Unknown,Unknown,South America,Oceania,27.0,19.0,191,121,Round of 32,Salzburg,Clay,2,3,6,Spring,75000
170,178,Right,Left,Unknown,Unknown,South America,South America,28.0,26.0,215,182,Round of 16,Salzburg,Clay,3,3,6,Spring,75000
188,178,Right,Right,One,One,Europe,Europe,22.0,22.0,697,717,Round of 32,Austria F4,Clay,3,3,6,Summer,10000
193,188,Right,Right,Two,One,Europe,Europe,20.0,22.0,447,697,Round of 16,Austria F4,Clay,2,3,6,Summer,10000
183,180,Left,Right,Two,Two,Europe,Oceania,22.0,25.0,291,1032,Round of 32,Austria F4,Clay,2,3,6,Summer,10000
185,180,Right,Right,One,Two,Europe,Oceania,23.0,,690,337,Finals,Austria F4,Clay,2,3,6,Summer,10000
180,193,Right,Right,Two,Two,Oceania,Europe,,20.0,337,447,Semi-Finals,Austria F4,Clay,2,3,6,Summer,10000
180,183,Right,Right,Two,Two,Oceania,Europe,,27.0,337,849,Round of 32,Austria F4,Clay,2,3,6,Summer,10000
180,191,Right,Left,Two,Two,Oceania,Europe,,19.0,337,469,Quarter-Finals,Austria F4,Clay,2,3,6,Summer,10000
180,185,Left,Left,One,Unknown,South America,Europe,30.0,20.0,7,22,Finals,Kitzbuhel,Clay,3,3,0,Summer,100000
180,185,Left,Right,One,Unknown,South America,South America,30.0,27.0,7,41,Quarter-Finals,Kitzbuhel,Clay,2,3,0,Summer,100000
180,185,Left,Right,One,Unknown,South America,Europe,30.0,20.0,7,87,Semi-Finals,Kitzbuhel,Clay,2,3,0,Summer,100000
185,180,Left,Right,Unknown,Unknown,Europe,Europe,20.0,22.0,22,90,Round of 16,Kitzbuhel,Clay,2,3,0,Summer,100000
180,188,Right,Right,Unknown,Unknown,Europe,Europe,25.0,19.0,353,380,Round of 32,Portschach,Clay,2,3,6,Summer,25000
191,191,Right,Right,Unknown,Unknown,Europe,South America,22.0,24.0,360,267,Round of 16,Portschach,Clay,3,3,6,Summer,25000
185,175,Right,Right,Unknown,Unknown,Europe,Europe,23.0,28.0,213,204,Semi-Finals,Portschach,Clay,2,3,6,Summer,25000
185,191,Right,Right,Unknown,Unknown,Europe,Europe,23.0,,213,223,Finals,Portschach,Clay,2,3,6,Summer,25000
175,185,Right,Right,Unknown,Unknown,Europe,Europe,22.0,20.0,363,128,Round of 32,Portschach,Clay,3,3,6,Summer,25000
193,183,Right,Right,Unknown,Unknown,Europe,Oceania,20.0,19.0,409,277,Round of 32,Portschach,Clay,3,3,6,Summer,25000
175,191,Right,Right,Unknown,Unknown,Europe,Europe,28.0,22.0,204,360,Quarter-Finals,Portschach,Clay,2,3,6,Summer,25000
175,191,Right,Right,Unknown,Unknown,Europe,Europe,28.0,30.0,204,373,Round of 32,Portschach,Clay,2,3,6,Summer,25000
191,175,Right,Right,Unknown,Unknown,Europe,Europe,,22.0,223,363,Semi-Finals,Portschach,Clay,2,3,6,Summer,25000
191,183,Right,Right,Unknown,Unknown,Europe,Europe,,28.0,223,674,Quarter-Finals,Portschach,Clay,2,3,6,Summer,25000
193,180,Right,Right,Two,Two,Europe,Europe,19.0,21.0,1135,1427,Round of 16,Austria F6,Clay,2,3,6,Summer,15000
193,193,Right,Right,Two,One,Europe,Europe,19.0,27.0,1135,761,Quarter-Finals,Austria F6,Clay,3,3,6,Summer,15000
191,180,Right,Right,One,Two,Europe,Europe,22.0,20.0,588,940,Round of 32,Austria F6,Clay,2,3,6,Summer,15000
178,193,Right,Right,Two,Two,South America,Europe,24.0,18.0,385,662,Round of 16,Austria F6,Clay,3,3,6,Summer,15000
178,185,Right,Right,Two,Two,South America,South America,24.0,19.0,385,1117,Round of 32,Austria F6,Clay,2,3,6,Summer,15000
193,178,Right,Right,Two,Two,Europe,Europe,23.0,20.0,656,1632,Round of 16,Austria F6,Clay,2,3,6,Summer,15000
193,178,Right,Right,Two,Two,Europe,Europe,23.0,24.0,656,911,Round of 32,Austria F6,Clay,2,3,6,Summer,15000
180,196,Right,Right,Two,One,Europe,Europe,21.0,19.0,1427,884,Round of 32,Austria F6,Clay,2,3,6,Summer,15000
183,193,Right,Right,Two,Two,Europe,Europe,23.0,19.0,354,1135,Semi-Finals,Austria F6,Clay,2,3,6,Summer,15000
183,178,Right,Right,Two,Two,Europe,South America,23.0,24.0,354,385,Finals,Austria F6,Clay,2,3,6,Summer,15000
183,193,Right,Right,Two,Two,Europe,Europe,23.0,23.0,354,656,Quarter-Finals,Austria F6,Clay,2,3,6,Summer,15000
183,193,Right,Right,Two,Unknown,Europe,Europe,23.0,26.0,354,789,Round of 32,Austria F6,Clay,2,3,6,Summer,15000
183,188,Right,Right,Two,Two,Europe,Europe,23.0,24.0,354,1200,Round of 16,Austria F6,Clay,2,3,6,Summer,15000
185,191,Right,Right,Two,Two,Europe,Europe,23.0,20.0,1469,651,Round of 32,Austria F6,Clay,3,3,6,Summer,15000
175,191,Right,Right,Two,One,Europe,Europe,24.0,29.0,712,720,Round of 32,Austria F6,Clay,3,3,6,Summer,15000
193,191,Right,Right,One,One,Europe,Europe,27.0,22.0,761,588,Round of 16,Austria F6,Clay,2,3,6,Summer,15000
193,178,Right,Right,One,Two,Europe,South America,27.0,20.0,761,857,Round of 32,Austria F6,Clay,2,3,6,Summer,15000
185,185,Right,Right,Two,Two,Europe,Europe,20.0,23.0,513,881,Round of 16,M25 Telfs,Clay,2,3,6,Summer,25000
183,183,Right,Right,Two,Two,Europe,Europe,25.0,27.0,837,457,Round of 32,M25 Telfs,Clay,2,3,6,Summer,25000
183,183,Right,Right,Two,Two,Europe,Europe,25.0,,837,1162,Semi-Finals,M25 Telfs,Clay,3,3,6,Summer,25000
180,183,Right,Right,Two,Two,Europe,Europe,19.0,25.0,789,837,Finals,M25 Telfs,Clay,2,3,6,Summer,25000
180,188,Right,Left,Two,Two,Europe,Europe,19.0,30.0,789,1306,Quarter-Finals,M25 Telfs,Clay,2,3,6,Summer,25000
180,193,Right,Right,Two,One,Europe,Europe,19.0,23.0,789,720,Semi-Finals,M25 Telfs,Clay,2,3,6,Summer,25000
180,188,Right,Right,Two,One,Europe,Europe,19.0,24.0,789,647,Round of 32,M25 Telfs,Clay,3,3,6,Summer,25000
188,183,Left,Right,Two,Two,Europe,North America,30.0,20.0,1306,418,Round of 32,M25 Telfs,Clay,2,3,6,Summer,25000
180,185,Right,Right,Two,Two,South America,Europe,28.0,21.0,462,754,Round of 16,M25 Telfs,Clay,2,3,6,Summer,25000
193,185,Right,Right,One,Two,Europe,Europe,23.0,22.0,720,638,Quarter-Finals,M25 Telfs,Clay,2,3,6,Summer,25000
193,188,Right,Right,One,Two,Europe,Europe,23.0,27.0,720,528,Round of 32,M25 Telfs,Clay,2,3,6,Summer,25000
183,188,Right,Left,Two,Unknown,Europe,Europe,,23.0,1162,1743,Round of 16,M25 Telfs,Clay,2,3,6,Summer,25000
183,180,Right,Right,Two,Two,Europe,South America,,28.0,1162,462,Quarter-Finals,M25 Telfs,Clay,2,3,6,Summer,25000
183,178,Right,Right,Two,Unknown,Europe,Europe,,28.0,1162,527,Round of 32,M25 Telfs,Clay,3,3,6,Summer,25000
183,185,Left,Right,Two,Unknown,Europe,Europe,25.0,18.0,566,625,Round of 32,M25 Telfs,Clay,2,3,6,Summer,25000
196,180,Right,Right,Two,Two,Europe,Europe,22.0,23.0,51,91,1st Round Qualifying,Vienna,Hard,2,3,6,Autumn,2296490
183,193,Right,Left,Two,Two,Europe,South America,30.0,29.0,72,76,2nd Round Qualifying,Vienna,Hard,2,3,6,Autumn,2296490
183,183,Right,Right,Two,Two,Europe,Europe,30.0,34.0,72,50,Round of 16,Vienna,Hard,3,3,6,Autumn,2296490
183,183,Right,Left,Two,Two,Europe,South America,30.0,29.0,72,20,Round of 32,Vienna,Hard,2,3,6,Autumn,2296490
183,183,Right,Right,Two,Two,Europe,Europe,30.0,26.0,72,178,1st Round Qualifying,Vienna,Hard,2,3,6,Autumn,2296490
188,196,Right,Right,Two,Two,Europe,Europe,22.0,22.0,22,51,Round of 32,Vienna,Hard,3,3,6,Autumn,2296490
188,188,Right,Right,Two,Two,Europe,Asia,22.0,23.0,22,139,Round of 16,Vienna,Hard,2,3,6,Autumn,2296490
188,193,Left,Right,Two,Two,Oceania,Europe,24.0,21.0,58,542,1st Round Qualifying,Vienna,Hard,2,3,6,Autumn,2296490
175,196,Right,Right,Two,Two,Europe,Europe,27.0,22.0,92,51,2nd Round Qualifying,Vienna,Hard,3,3,6,Autumn,2296490
175,198,Right,Right,Two,Two,Europe,South America,27.0,24.0,92,77,1st Round Qualifying,Vienna,Hard,2,3,6,Autumn,2296490
170,193,Right,Right,Two,Two,South America,Europe,,33.0,15,14,Semi-Finals,Vienna,Hard,2,3,6,Autumn,2296490
170,198,Right,Right,Two,Two,South America,Europe,,23.0,15,9,Quarter-Finals,Vienna,Hard,2,3,6,Autumn,2296490
170,188,Right,Right,Two,Two,South America,Europe,,,15,66,Round of 32,Vienna,Hard,2,3,6,Autumn,2296490
170,198,Right,Right,Two,Two,South America,North America,,32.0,15,47,Round of 16,Vienna,Hard,3,3,6,Autumn,2296490
185,170,Right,Right,One,Two,Europe,South America,26.0,,5,15,Finals,Vienna,Hard,3,3,6,Autumn,2296490
185,188,Right,Left,One,Two,Europe,Europe,26.0,35.0,5,40,Round of 16,Vienna,Hard,3,3,6,Autumn,2296490
185,188,Right,Right,One,Two,Europe,Europe,26.0,,5,36,Round of 32,Vienna,Hard,2,3,6,Autumn,2296490
185,196,Right,Right,One,Two,Europe,Europe,26.0,23.0,5,11,Semi-Finals,Vienna,Hard,3,3,6,Autumn,2296490
193,193,Left,Right,Two,Two,South America,Europe,29.0,25.0,76,144,1st Round Qualifying,Vienna,Hard,3,3,6,Autumn,2296490
188,185,Left,Right,Two,Two,Europe,Europe,35.0,27.0,40,26,Round of 32,Vienna,Hard,3,3,6,Autumn,2296490
193,183,Right,Right,Two,Two,Europe,Europe,33.0,30.0,14,72,Quarter-Finals,Vienna,Hard,2,3,6,Autumn,2296490
193,183,Right,Right,Two,Two,Europe,Europe,33.0,26.0,14,124,Round of 32,Vienna,Hard,3,3,6,Autumn,2296490
193,188,Right,Right,Two,Two,Europe,Europe,33.0,18.0,14,101,Round of 16,Vienna,Hard,2,3,6,Autumn,2296490
183,188,Right,Left,Two,One,Europe,Europe,34.0,38.0,50,59,Round of 32,Vienna,Hard,2,3,6,Autumn,2296490
191,175,Right,Right,One,Two,Europe,Europe,28.0,27.0,29,92,Round of 32,Vienna,Hard,2,3,6,Autumn,2296490
